Resident ID,Verified,Resident Duration,Rating,Review Date,Review Text,Sentiment,Sentiment Numeric,Compound Score
1,Verified,2019- 2024,5.0,9/7/2019,Clean secure apartments in a great location with a wonderful staff always ready to assist you. Grounds are well kept and overall it's an extremely peaceful facility. The one issue we had was addressed within the hour with after hours service.,Positive,2,0.9638
2,Verified,2019 - 2020,4.5,2/26/2020,"Just excellent people at the Main Office. Claudia & Enrique are very customer/tenant satisfaction oriented staff members. The community is great and its facilities are outstanding. If only we can have a half basketball court, it would be awesome. Thanks.",Positive,2,0.9719
3,Resident,2019- 2024,5.0,8/20/2019,"I have never written a review before, but I just had to write one for The Sedona because the customer service and move in process was just amazing. Tina was so amazing from the moment we stepped in. We reserved an apartment about two months early before moving in. It's been a week now and so far me and my girlfriend are loving the place. The gym is one of the best apartment gyms I've seen in any apartment complex and everything is so clean and well kept in the community.",Positive,2,0.9865
4,Verified,2019- 2024,5.0,8/19/2019,So far the experience has been great and the residents along with the staff have been inviting and very helpful during the moving process. Enrique went above and beyond to ensure my move was swift and stress free. His communication skills were topnotch.,Positive,2,0.9245
5,Verified,2019- 2024,5.0,5/22/2019,Extremely nice people at The Sedona. My apartment is beautiful and the signing process was extremely easy! The neighborhood is extremely relaxing and there are a bunch of stores nearby for whatever you need! Highly suggest signing here!,Positive,2,0.9388
6,Verified,2017 - 2019,4.7,4/11/2019,"Muy a gusto en Sedona. Nos gustaría seguir viviendo en esta comunidad. Siempre asistimos a los eventos y tenemos muchos amigos que nos reunimos frecuentemente. La piscina es excelente, el staff y la gente de mantenimiento son muy serviciales y resuelven rápidamente nuestras necesidades.",Neutral,1,0.0
7,Verified,2019- 2024,5.0,3/5/2019,Sedona Apartment Homes is the place to be called home. The property is astonishing... The lakes are breathtaking! Peaceful and quiet. The property itself is well located but it doesn't feel like you are in the middle of the traffic chaos area. I love this place in many ways!!!,Positive,2,0.5998
8,Verified,2018 - 2019,1.7,1/15/2019,Terrible service. Maintenance asks the tenants to complete their own repairs and do not even show up. I have submitted service requests only to be sent an email response to repair myself or some requests go unanswered at all.,Negative,0,-0.4767
9,Verified,2018 - 2019,3.7,1/14/2019,The Sedona is a beautiful property but the floors and walls are very thin! I have been living in hell with my upstairs neighbors and will not be renewing my lease. Many people that live here also do not pick up their dog poop. Watch out for land mines.,Negative,0,-0.7385
10,Verified,2018 - 2019,5.0,1/9/2019,"Wonderful staff, beautiful apartments and nice residents. The amenities are also fantastic. Melissa is amazing and helped us drastically with the move since we relocated from a different state.",Positive,2,0.9571
11,Verified,2018 - 2019,4.8,1/8/2019,"We have loved our time at The Sedona so far. It's been a great 5 months and we really enjoy this community, the amenities, the staff and the people we've met. We love the pool area, it feels like a resort! The property is beautiful and well maintained and the units are gorgeous as well.",Positive,2,0.9843
12,Verified,2018 - 2019,3.3,1/8/2019,"Community is quiet for the most part and is beautiful on the exterior but some neighbors are noisy. I also had a package stolen from my doorstep. For what I am paying in rent here, this place isn't worth it. Don't buy into the fancy pool and front lobby... this place isn't a resort.",Negative,0,-0.7095
13,Verified,2016 - 2019,4.3,1/3/2019,"Very classy and on the high end side, but you get what you pay for. Immaculate clubhouse, beautiful pool, and extra large hot tub. The landscaping could use some work and parking is scarce at times, but overall it's great.",Positive,2,0.926
14,Verified,2018- 2024,4.5,12/12/2018,"Apartment complex is well kept and any problems are addressed and resolved in a timely manner. Office staff, maintenance, and lawn service are friendly. Dog walking area is nice and clean.",Positive,2,0.8316
