Primary Key,Review Text,Score,Date,Apartment Complex,Confirmed Tenant
5ed15e3c-d14c-4e75-8706-08d9b2f05b6b,"Vey good leasing agent (Anne) and tour experience. Nice apartments for the price point. Well staged and presented. Not impressed by upper floor balconies, but ground level patios were nice. Complex appeared well maintained.",3.8,2/15/2025,Carlton Arms of Winter Haven,Yes
9b12c01d-b922-47fa-8974-2866327656dd,"I love it here, best place to live. All the staff members are wonderful and they make you feel like family. You won't regret staying here. They stay on top of everything and keep you update On all events.",5.0,2/15/2025,Carlton Arms of Winter Haven,Yes
fff7edc7-2b09-403b-95fa-8091cf8eef1f,It has been a pleasure living there. I absolutely love the quietness and the cleanliness of the community. staff is friendly. Repairs are done timely as always someone there to answer any questions that you may have if you need to speak to a supervisor he's readily available.,5.0,2/13/2025,Carlton Arms of Winter Haven,Yes
35ef0e55-0323-439e-ab22-72d02acfc921,The staff is friendly and welcoming. Maintenance is right on top of requests. Beautifully kept grounds. Friendly family atmosphere and neighbors. Very safe! I love it here and hope I never have to leave!,4.7,2/8/2025,Carlton Arms of Winter Haven,Yes
9aba2001-ddc5-4970-bb75-248bc4724f8a,"It's been great leaving here, nice and quiet, everyone friendly and respectful, it's allways a relaxing feeling around the complex, beautiful atmosphere knowledge staff, the manager of the complex is a good understanding person.",4.8,2/7/2025,Carlton Arms of Winter Haven,Yes
0123649f-e19d-41ec-8c0a-01381ee9544e,From beginning to end the staff has been great from communicating from the very first day we saw the apartment models and the waiting list was timeless couldn't belive how fast and efficient the staff,5.0,2/6/2025,Carlton Arms of Winter Haven,Yes
1d7a8eae-4f8d-4c62-a664-68c77482c089,"I have had nothing but a postive experience at this community! Everyone is incredibly kind and wonderful to talk to, and they genui.",4.8,2/3/2025,Carlton Arms of Winter Haven,Yes
2d6af75b-fc26-40ed-bf7e-2cdc5e60e9a9,"nely want us to be happy living here. I feel safe being in this community, and I wouldn't want to live anywhere else!",5.0,2/4/2025,Carlton Arms of Winter Haven,Yes
f54ff595-4fcc-49ac-bc7c-5d4b0af4c26a,"RUN AS FAST AS YOU CAN FROM THIS PLACE! SOME of the office staff is friendly, but NOTHING ever gets done with any complaint you submit, but they are QUICK to send letters for THE dumbest petty crap especially when their own walk around & tattle. the amount of violations that place has is wild. i would dig VERY deep before you ever think about moving in there, just bc it's affordable doesn't mean it's better. that place has gone down hill so fast in the last few years, its the dollar general version of apts. and people wonder why ashley went to the new CA, bc she's way too good for that low class place.",1.3,1/31/2025,Carlton Arms of Winter Haven,Yes
89b4fad4-a22d-44db-bc25-9899cb9000b8,"Carlton arms apartment very clean friendly staff, i moved in 2023 up until present i a. Please with rent it's in my budget and your needs when need maintenance is always meet you can talked with staff if you have plans for even and will de directed as how to proceed it's always a home for me.",5.0,1/25/2025,Carlton Arms of Winter Haven,Yes
